state_fips,county_fips,tract_fips,ckd_pct,ckd_lci,ckd_uci,total_pop
12,12103,12103027605,3.6,3.3,4.0,1669
08,08001,08001009001,2.7,2.5,2.8,4645
06,06085,06085506804,2.4,2.3,2.5,3629
06,06111,06111008302,2.6,2.5,2.8,5380
08,08041,08041006200,3.1,2.9,3.3,4669
12,12035,12035060211,4.1,3.8,4.3,6321
08,08059,08059009851,2.3,2.2,2.5,3908
04,04013,04013422643,1.9,1.8,2.0,5789
06,06067,06067007402,3.4,3.2,3.6,6180
01,01089,01089000201,5.2,4.7,5.7,760
01,01101,01101002202,4.7,4.4,5.1,1185
01,01013,01013952800,3.4,3.1,3.7,1394
06,06037,06037221601,3.0,2.8,3.3,3403
06,06037,06037402404,0.5,0.5,0.6,1945
06,06059,06059011102,2.6,2.5,2.7,4356
06,06037,06037294200,2.8,2.6,2.9,4951
04,04013,04013612300,1.6,1.5,1.7,7278
06,06065,06065040605,2.8,2.6,3.0,3543
05,05035,05035030600,4.2,4.0,4.4,4875
06,06067,06067005002,4.5,4.3,4.7,6284
06,06037,06037231500,3.5,3.3,3.8,4752
02,02188,02188000200,2.7,2.6,2.9,3201
04,04013,04013103614,2.7,2.6,2.9,2998
06,06037,06037240500,3.5,3.3,3.7,5655
06,06037,06037297201,2.5,2.4,2.7,3475
01,01117,01117030337,2.4,2.2,2.6,1384
04,04027,04027000908,2.3,2.2,2.4,2805
06,06055,06055201003,1.9,1.8,2.0,4389
04,04019,04019004622,3.0,2.8,3.2,3115
06,06037,06037463400,2.1,2.0,2.1,5752
06,06001,06001450742,2.3,2.1,2.4,4576
06,06015,06015000201,2.6,2.5,2.8,7026
04,04013,04013082027,1.8,1.7,1.9,3978
06,06067,06067007424,2.8,2.7,2.9,3508
04,04013,04013061012,2.4,2.2,2.5,7680
06,06017,06017030603,3.2,3.1,3.4,3566
04,04019,04019001400,2.8,2.7,2.9,5630
01,01097,01097003707,3.1,2.9,3.3,4477
06,06059,06059011000,2.4,2.2,2.5,6626
06,06029,06029002816,3.1,2.9,3.3,5465
06,06059,06059088101,2.4,2.3,2.5,2078
06,06023,06023001000,2.0,1.8,2.1,5906
06,06009,06009000120,3.2,3.0,3.4,4434
04,04013,04013116400,3.0,2.9,3.2,5604
06,06037,06037228600,3.3,3.1,3.5,5049
02,02282,02282000100,2.9,2.7,3.1,662
04,04013,04013105701,3.2,3.0,3.4,3426
04,04013,04013422205,2.6,2.5,2.8,1384
06,06037,06037702002,2.1,1.9,2.2,5700
06,06037,06037236204,4.5,4.2,4.9,3203
06,06007,06007002300,3.8,3.5,4.1,5331
04,04005,04005002300,2.6,2.5,2.7,6674
06,06059,06059021917,2.5,2.3,2.7,3435
06,06037,06037219010,3.5,3.3,3.7,2814
06,06037,06037542103,2.7,2.5,2.9,4114
01,01085,01085780800,4.7,4.5,4.9,3620
06,06065,06065042623,2.6,2.4,2.7,3682
06,06001,06001451201,2.2,2.0,2.3,6595
06,06037,06037189903,1.8,1.7,1.9,2164
06,06037,06037543304,3.5,3.2,3.8,6061
06,06037,06037265601,2.2,2.1,2.4,2890
06,06037,06037920039,2.3,2.2,2.5,1896
04,04019,04019004504,4.0,3.8,4.2,7131
06,06013,06013346203,2.5,2.3,2.7,3838
06,06037,06037500700,3.2,2.9,3.4,6496
01,01117,01117030314,2.1,2.0,2.3,3084
06,06037,06037407301,2.7,2.5,2.9,4828
04,04013,04013040520,1.7,1.6,1.8,4142
06,06053,06053014104,0.7,0.6,0.7,1611
06,06065,06065045604,3.8,3.5,4.0,13694
06,06029,06029004603,1.5,1.4,1.7,490
01,01069,01069040800,3.2,3.0,3.3,7774
06,06037,06037186201,2.6,2.4,2.7,3068
04,04021,04021002101,4.0,3.7,4.3,7966
04,04003,04003000800,4.1,3.8,4.5,5160
06,06037,06037119002,2.5,2.3,2.7,7210
01,01025,01025957901,4.3,4.0,4.6,3493
06,06037,06037601301,2.8,2.6,2.9,1915
