group,level,n,n_pos,AUROC
Age,50-64,4081,696,0.7119687964199938
Age,<50,6917,529,0.6365875196900964
Age,≥65,4152,1481,0.6980577500505742
Sex,Female,8000,1409,0.7353106000560774
Sex,Male,7150,1297,0.8057325046862184
Race/Ethnicity,Mexican American,1492,219,0.6996224275752693
Race/Ethnicity,Non-Hispanic Asian,1417,204,0.7735456731875361
Race/Ethnicity,Non-Hispanic Black,3122,698,0.7666243694784787
Race/Ethnicity,Non-Hispanic White,6710,1207,0.7754714786685826
Race/Ethnicity,Other / Multi-racial,845,159,0.8189968830169467
Race/Ethnicity,Other Hispanic,1564,219,0.7458920783748328
